run,condition,path
NC1,Non_cast,/Users/Emma/GitHub/MOTSc_cast_immobilization/rsem_results/NC1.genes.results
NC2,Non_cast,/Users/Emma/GitHub/MOTSc_cast_immobilization/rsem_results/NC2.genes.results
NC3,Non_cast,/Users/Emma/GitHub/MOTSc_cast_immobilization/rsem_results/NC3.genes.results
NC4,Non_cast,/Users/Emma/GitHub/MOTSc_cast_immobilization/rsem_results/NC4.genes.results
NC5,Non_cast,/Users/Emma/GitHub/MOTSc_cast_immobilization/rsem_results/NC5.genes.results
NC6,Non_cast,/Users/Emma/GitHub/MOTSc_cast_immobilization/rsem_results/NC6.genes.results
NC7,Non_cast,/Users/Emma/GitHub/MOTSc_cast_immobilization/rsem_results/NC7.genes.results
NC8,Non_cast,/Users/Emma/GitHub/MOTSc_cast_immobilization/rsem_results/NC8.genes.results
Ca1,Cast_water,/Users/Emma/GitHub/MOTSc_cast_immobilization/rsem_results/Ca1.genes.results
Ca2,Cast_water,/Users/Emma/GitHub/MOTSc_cast_immobilization/rsem_results/Ca2.genes.results
Ca3,Cast_water,/Users/Emma/GitHub/MOTSc_cast_immobilization/rsem_results/Ca3.genes.results
Ca4,Cast_water,/Users/Emma/GitHub/MOTSc_cast_immobilization/rsem_results/Ca4.genes.results
Ca5,Cast_water,/Users/Emma/GitHub/MOTSc_cast_immobilization/rsem_results/Ca5.genes.results
Ca6,Cast_water,/Users/Emma/GitHub/MOTSc_cast_immobilization/rsem_results/Ca6.genes.results
Ca7,Cast_water,/Users/Emma/GitHub/MOTSc_cast_immobilization/rsem_results/Ca7.genes.results
Ca8,Cast_water,/Users/Emma/GitHub/MOTSc_cast_immobilization/rsem_results/Ca8.genes.results
WT1,Cast_MOTSc,/Users/Emma/GitHub/MOTSc_cast_immobilization/rsem_results/WT1.genes.results
WT2,Cast_MOTSc,/Users/Emma/GitHub/MOTSc_cast_immobilization/rsem_results/WT2.genes.results
WT3,Cast_MOTSc,/Users/Emma/GitHub/MOTSc_cast_immobilization/rsem_results/WT3.genes.results
WT4,Cast_MOTSc,/Users/Emma/GitHub/MOTSc_cast_immobilization/rsem_results/WT4.genes.results
WT5,Cast_MOTSc,/Users/Emma/GitHub/MOTSc_cast_immobilization/rsem_results/WT5.genes.results
WT6,Cast_MOTSc,/Users/Emma/GitHub/MOTSc_cast_immobilization/rsem_results/WT6.genes.results
WT7,Cast_MOTSc,/Users/Emma/GitHub/MOTSc_cast_immobilization/rsem_results/WT7.genes.results
WT8,Cast_MOTSc,/Users/Emma/GitHub/MOTSc_cast_immobilization/rsem_results/WT8.genes.results
